Activity,Task,Subtask,Condition,Type of Subtask,Interaction,Persona,Technique
Plan Business Analysis,Plan Approach and Method,Define Approach,High risk,Predictive,Provide needs,Sponsor,Brainstorming
Plan Business Analysis,Plan Approach and Method,Define Approach,High risk,Predictive,Provide needs,Sponsor,Document Analysis
Plan Business Analysis,Plan Approach and Method,Define Approach,High risk,Predictive,Provide needs,Sponsor,Estimation
Plan Business Analysis,Plan Approach and Method,Define Approach,High risk,Predictive,Provide needs,Sponsor,Financial Analysis
Plan Business Analysis,Plan Approach and Method,Define Approach,High risk,Predictive,Provide needs,Sponsor,Functional Decomposition
Plan Business Analysis,Plan Approach and Method,Define Approach,High risk,Predictive,Provide needs,Sponsor,Interviews
Plan Business Analysis,Plan Approach and Method,Define Approach,High risk,Predictive,Provide needs,Sponsor,Item Tracking
Plan Business Analysis,Plan Approach and Method,Define Approach,High risk,Predictive,Provide needs,Sponsor,Lessons Learned
Plan Business Analysis,Plan Approach and Method,Define Approach,High risk,Predictive,Provide needs,Sponsor,Process Modeling
Plan Business Analysis,Plan Approach and Method,Define Approach,High risk,Predictive,Provide needs,Sponsor,Reviews
Plan Business Analysis,Plan Approach and Method,Define Approach,High risk,Predictive,Provide needs,Sponsor,Risk Analysis
Plan Business Analysis,Plan Approach and Method,Define Approach,High risk,Predictive,Provide needs,Sponsor,Scope Modeling
Plan Business Analysis,Plan Approach and Method,Define Approach,High risk,Predictive,Provide needs,Sponsor,Surveys/Questionnaires
Plan Business Analysis,Plan Approach and Method,Define Approach,High risk,Predictive,Provide needs,Sponsor,Workshops
Plan Business Analysis,Plan Approach and Method,Define Approach,High risk,Predictive,Ensure policy compliance,Sponsor,Brainstorming
Plan Business Analysis,Plan Approach and Method,Define Approach,High risk,Predictive,Ensure policy compliance,Sponsor,Document Analysis
Plan Business Analysis,Plan Approach and Method,Define Approach,High risk,Predictive,Ensure policy compliance,Sponsor,Estimation
Plan Business Analysis,Plan Approach and Method,Define Approach,High risk,Predictive,Ensure policy compliance,Sponsor,Financial Analysis
Plan Business Analysis,Plan Approach and Method,Define Approach,High risk,Predictive,Ensure policy compliance,Sponsor,Functional Decomposition
Plan Business Analysis,Plan Approach and Method,Define Approach,High risk,Predictive,Ensure policy compliance,Sponsor,Interviews
Plan Business Analysis,Plan Approach and Method,Define Approach,High risk,Predictive,Ensure policy compliance,Sponsor,Item Tracking
